Template Type,Template ID,Template Name,Subject/Content Type,Full Content,Usage Type,Variables Used
EMAIL,1,Deal Submission Confirmation,Deal Received - {{address}} | LandLinq #{{dealId}},"Dear {{brokerName}},

Thank you for submitting your deal to LandLinq. We've successfully received your property submission:

**Property Details:**
Address: {{address}}
Deal ID: {{dealId}}
Submission Date: {{submissionDate}}
Acreage: {{acreage}} acres
Development Type: {{developmentType}}
Asking Price: {{askingPrice}}

Our analyst team will review your submission within 24-48 hours. You'll receive updates as we progress through our evaluation process.

**What happens next:**
1. Initial review and classification (24-48 hours)
2. Detailed market analysis and due diligence
3. Final decision and feedback

You can track your deal status anytime at: {{trackingUrl}}

Best regards,
The LandLinq Team

Questions? Reply to this email or call us at (888) 486-6346.",confirmation,"brokerName, address, dealId, submissionDate, acreage, developmentType, askingPrice, trackingUrl"
EMAIL,2,Deal Approved - High Priority,Great News! {{address}} Approved | LandLinq #{{dealId}},"Dear {{brokerName}},

Excellent news! Your property submission has been APPROVED and classified as HIGH PRIORITY.

**Property:** {{address}}
**Deal ID:** {{dealId}}
**Classification:** High Priority (Green)
**Estimated Timeline:** {{estimatedTimeline}}

**Why we're excited about this deal:**
{{approvalReasons}}

**Next Steps:**
1. Our acquisition team will contact you within 24 hours
2. We'll schedule a property visit within {{visitTimeframe}}
3. Initial offer expected within {{offerTimeframe}}

**Your Analyst:** {{analystName}}
**Direct Contact:** {{analystEmail}} | {{analystPhone}}

We're moving quickly on this opportunity. Please ensure all property documents are readily available.

Best regards,
{{analystName}}
Catalyst Capital Partners

P.S. Thank you for bringing us quality opportunities like this!",approved,"brokerName, address, dealId, estimatedTimeline, approvalReasons, visitTimeframe, offerTimeframe, analystName, analystEmail, analystPhone"
EMAIL,3,Deal Under Review - Potential Interest,{{address}} Under Review | LandLinq #{{dealId}},"Dear {{brokerName}},

Thank you for your submission. We've completed our initial review of your property:

**Property:** {{address}}
**Deal ID:** {{dealId}}
**Status:** Under Review (Potential Interest)
**Classification:** Yellow - Requires Additional Analysis

**Current Assessment:**
{{reviewNotes}}

**Additional Information Needed:**
{{informationRequested}}

**Timeline:**
- Detailed analysis: {{analysisTimeframe}}
- Decision expected: {{decisionTimeframe}}

Our team is conducting deeper market research and feasibility analysis. We'll update you as soon as our evaluation is complete.

**Your Analyst:** {{analystName}}
**Questions?** {{analystEmail}} | {{analystPhone}}

Thank you for your patience as we conduct our thorough review process.

Best regards,
{{analystName}}
Catalyst Capital Partners",under_review,"brokerName, address, dealId, reviewNotes, informationRequested, analysisTimeframe, decisionTimeframe, analystName, analystEmail, analystPhone"
EMAIL,4,Deal Declined with Feedback,Re: {{address}} - Decision Update | LandLinq #{{dealId}},"Dear {{brokerName}},

Thank you for submitting your property for our consideration. After careful review, we've decided not to move forward with this opportunity at this time.

**Property:** {{address}}
**Deal ID:** {{dealId}}
**Decision:** Not Proceeding

**Feedback:**
{{declineReasons}}

**Market Insights:**
{{marketFeedback}}

While this particular property doesn't align with our current acquisition criteria, we value our relationship with you and encourage you to continue sending opportunities that match our investment parameters.

**What we're actively seeking:**
- {{targetCriteria}}
- Markets: {{targetMarkets}}
- Size: {{preferredSizeRange}}

We appreciate your time and look forward to future opportunities that may be a better fit.

Best regards,
{{analystName}}
Catalyst Capital Partners

**New Opportunities:** Continue submitting at {{submissionUrl}}",rejected,"brokerName, address, dealId, declineReasons, marketFeedback, targetCriteria, targetMarkets, preferredSizeRange, analystName, submissionUrl"
EMAIL,5,Follow-up After Initial Interest,Following Up: {{address}} | LandLinq #{{dealId}},"Dear {{brokerName}},

I hope this email finds you well. I'm following up on the property submission we discussed:

**Property:** {{address}}
**Deal ID:** {{dealId}}
**Last Contact:** {{lastContactDate}}

**Current Status:**
{{currentStatus}}

**Outstanding Items:**
{{outstandingItems}}

**Next Steps:**
{{nextSteps}}

I wanted to ensure we maintain momentum on this opportunity. Please let me know if you have any updates or if there's additional information I can provide.

**Best times to reach me:**
- Phone: {{analystPhone}} ({{availability}})
- Email: {{analystEmail}} (checked regularly)

Looking forward to moving this forward together.

Best regards,
{{analystName}}
Catalyst Capital Partners",follow_up,"brokerName, address, dealId, lastContactDate, currentStatus, outstandingItems, nextSteps, analystPhone, availability, analystEmail, analystName"
EMAIL,6,Document Request,Documents Needed: {{address}} | LandLinq #{{dealId}},"Dear {{brokerName}},

To continue our evaluation of your property submission, we need the following documents:

**Property:** {{address}}
**Deal ID:** {{dealId}}
**Request Date:** {{requestDate}}

**Required Documents:**
{{documentList}}

**Optional but Helpful:**
{{optionalDocuments}}

**Upload Instructions:**
1. Use our secure portal: {{uploadUrl}}
2. Reference Deal ID: {{dealId}}
3. Email directly to: {{analystEmail}}

**Timeline:**
Please provide these documents within {{documentDeadline}} to maintain our review timeline.

If you have any questions about specific documents or need assistance with uploads, please don't hesitate to contact me.

Best regards,
{{analystName}}
Catalyst Capital Partners
{{analystEmail}} | {{analystPhone}}",document_request,"brokerName, address, dealId, requestDate, documentList, optionalDocuments, uploadUrl, documentDeadline, analystName, analystEmail, analystPhone"
EMAIL,7,Meeting Confirmation,Meeting Confirmed: {{address}} | {{meetingDate}},"Dear {{brokerName}},

This confirms our upcoming meeting to discuss the property opportunity:

**Meeting Details:**
- **Date:** {{meetingDate}}
- **Time:** {{meetingTime}}
- **Location:** {{meetingLocation}}
- **Property:** {{address}}
- **Deal ID:** {{dealId}}

**Attendees:**
- {{attendeeList}}

**Meeting Agenda:**
1. Property overview and highlights
2. Market analysis discussion
3. Development potential review
4. Next steps and timeline
5. Q&A

**Please Bring:**
{{itemsToBring}}

**Contact Information:**
If you need to reschedule or have any questions:
- {{analystName}}: {{analystPhone}}
- Email: {{analystEmail}}

Looking forward to our productive discussion.

Best regards,
{{analystName}}
Catalyst Capital Partners",meeting_confirmation,"brokerName, meetingDate, meetingTime, meetingLocation, address, dealId, attendeeList, itemsToBring, analystName, analystPhone, analystEmail"
EMAIL,8,Market Update Newsletter,Market Insights: {{marketName}} | {{month}} {{year}},"Dear {{brokerName}},

Here's your monthly market update for opportunities in the {{marketName}} area:

**Market Snapshot - {{month}} {{year}}:**
- Active Deals: {{activeDeals}}
- Average Days to Decision: {{avgDecisionDays}}
- Market Temperature: {{marketTemperature}}

**What We're Seeing:**
{{marketTrends}}

**Current Acquisition Focus:**
{{currentFocus}}

**Recently Closed:**
{{recentClosings}}

**Opportunities We're Seeking:**
- Development Type: {{preferredTypes}}
- Size Range: {{sizeRange}}
- Target Markets: {{targetAreas}}
- Price Range: {{priceRange}}

**Submit Deals:** {{submissionUrl}}
**Market Questions:** {{contactEmail}}

Thank you for being a valued member of our broker network.

Best regards,
The LandLinq Team
Catalyst Capital Partners",market_update,"brokerName, marketName, month, year, activeDeals, avgDecisionDays, marketTemperature, marketTrends, currentFocus, recentClosings, preferredTypes, sizeRange, targetAreas, priceRange, submissionUrl, contactEmail"
EMAIL,9,Broker Welcome Package,Welcome to LandLinq! Your Complete Guide,"Dear {{brokerName}},

Welcome to the LandLinq broker network! We're excited to work with you to identify exceptional land acquisition opportunities.

**Your Account Details:**
- Broker ID: {{brokerId}}
- Portal Access: {{portalUrl}}
- Submission Email: {{submissionEmail}}

**Getting Started:**
1. **Deal Submission:** {{submissionGuideUrl}}
2. **Market Criteria:** {{criteriaUrl}}
3. **Success Stories:** {{successStoriesUrl}}

**What We Look For:**
{{acquisitionCriteria}}

**Our Process:**
1. Submit → 2. Review (24-48 hrs) → 3. Decision → 4. Next Steps

**Your Success Team:**
- Primary Analyst: {{primaryAnalyst}}
- Email: {{analystEmail}}
- Phone: {{analystPhone}}
- Backup Contact: {{backupContact}}

**Resources:**
- Submission Templates: {{templatesUrl}}
- Market Reports: {{reportsUrl}}
- FAQ: {{faqUrl}}

**Performance Dashboard:**
Track your submissions, approvals, and commissions at: {{dashboardUrl}}

We're looking forward to a successful partnership!

Best regards,
The LandLinq Team
Catalyst Capital Partners",welcome,"brokerName, brokerId, portalUrl, submissionEmail, submissionGuideUrl, criteriaUrl, successStoriesUrl, acquisitionCriteria, primaryAnalyst, analystEmail, analystPhone, backupContact, templatesUrl, reportsUrl, faqUrl, dashboardUrl"
EMAIL,10,Commission Payment Notification,Commission Payment Processed - {{dealAddress}},"Dear {{brokerName}},

Great news! Your commission payment has been processed for the following deal:

**Transaction Details:**
- Property: {{dealAddress}}
- Deal ID: {{dealId}}
- Closing Date: {{closingDate}}
- Commission Amount: {{commissionAmount}}
- Payment Date: {{paymentDate}}

**Payment Method:** {{paymentMethod}}
**Reference Number:** {{referenceNumber}}

**Transaction Summary:**
- Purchase Price: {{purchasePrice}}
- Commission Rate: {{commissionRate}}
- Gross Commission: {{grossCommission}}
- Less Deductions: {{deductions}}
- Net Payment: {{netPayment}}

Your payment should appear in your account within {{processingDays}} business days.

**Questions about this payment?**
Contact our accounting team:
- Email: {{accountingEmail}}
- Phone: {{accountingPhone}}
- Hours: {{accountingHours}}

Thank you for bringing us this excellent opportunity!

Best regards,
{{analystName}}
Catalyst Capital Partners

**Track your earnings:** {{earningsPortalUrl}}",commission,"brokerName, dealAddress, dealId, closingDate, commissionAmount, paymentDate, paymentMethod, referenceNumber, purchasePrice, commissionRate, grossCommission, deductions, netPayment, processingDays, accountingEmail, accountingPhone, accountingHours, analystName, earningsPortalUrl"
